business_id,total_checkin,01,02,03,04,05,06,07,08,09,10,11,12
0W4lkclzZThpx3V65bVgig,401,19,21,32,31,47,38,56,47,54,30,21,5
0W_pPAiTXgazY2mtX6o0_w,233,19,22,27,18,20,26,14,25,16,17,21,8
0WoQQlMXVIDEgI0xNdENKA,245,27,25,22,21,20,17,18,21,26,21,23,4
0_aeYE2-VbsZts_UpILgDw,377,32,22,40,36,35,33,39,38,30,32,28,12
0d0i0FaJq1GIeW1rS2D-5w,659,48,55,59,58,77,63,70,59,54,46,44,26
0j7VWa5uGebj_94C1K2i2g,202,23,14,25,16,15,20,19,14,15,15,19,7
0w3BdEOxvwKTpypwbN5kiQ,222,18,8,17,17,13,23,29,23,23,18,20,13
0wW9PasC8pw8SY7rlY3ZKw,264,31,21,29,31,20,14,29,24,21,16,22,6
15YuEFO59yXd7BTO5NZgYw,345,24,42,38,38,24,27,24,25,32,27,32,12
16d3BlncEyCTzb0GxXrBXQ,228,25,22,26,19,13,29,19,13,21,10,20,11
1BrIPwRhJHOp6yBwjoRtgg,257,10,27,17,16,29,25,34,27,19,20,28,5
1CP8aJa8ILlfM5deroar0Q,244,1,4,2,1,1,3,70,110,20,5,24,3
1DP5vHxJzCDbgawv0WC3yA,220,25,7,8,15,18,21,19,17,25,28,23,14
1LSdIQQVvzzyDyiYPxztkg,368,22,26,31,29,45,35,37,32,44,33,29,5
1O0JT3O8TCULYhu-AIziwg,207,25,17,22,23,19,18,14,24,17,18,6,4
1TTQ41NqKks69GltQSQNIA,210,22,18,10,13,21,27,17,25,15,17,16,9
1ZusRIDxNN0JKQtuGqq_xQ,489,52,37,37,31,35,41,33,83,57,41,30,12
1aEk5vowhhTa-C3EqxdEFw,318,27,27,28,29,26,33,27,37,29,23,23,9
1aMxCG33wAoxjWoeRsl4BA,321,20,9,17,20,40,33,34,41,32,34,31,10
1aVbXH_4uQCTQU7HfGmyow,1261,117,104,142,110,139,95,117,117,106,97,89,28
1bdwB6hxMUnSKF8bCsmuZA,365,36,25,46,32,33,33,34,44,22,23,30,7
1qkKfqhO8z2XMzLLDFE96Q,656,69,70,78,44,63,63,64,59,57,41,28,20
1qwkbN3wu3AGDxMTXVz2gA,308,27,28,33,35,33,33,24,23,12,29,18,13
1t5hd9IXLpBOv3ICtk-bCw,405,45,39,45,42,35,42,51,29,25,33,16,3
1u6-Fy87nmWyGlG0VA1jqQ,438,36,25,42,32,27,50,39,38,35,51,43,20
1ufk_GFAX_5foAZnbM_U6A,953,65,60,76,63,70,62,74,97,123,118,104,41
1xB0Qf2-TN6CQ5c4Fh7vqg,305,40,18,22,45,39,37,40,31,14,9,9,1
2OJrznHaA4Gz_KYbQnAuzQ,213,19,12,18,20,25,15,20,24,19,20,18,3
2SfSzEd3B7WimeZac23zhg,222,29,25,28,19,29,27,20,6,1,10,20,8
2XQCX26OnIC_pap-5E2EMQ,288,0,20,49,24,51,38,26,31,14,13,19,3
2_qLxCT0jHM8Xqk6PEwrBw,336,31,29,29,47,24,22,31,33,31,26,22,11
2adhYiY1IQ5flntw30Sdew,203,12,20,19,30,31,11,18,11,16,12,13,10
2cKAew-9iLS-mo-TtOgFiA,240,0,0,8,51,57,25,17,25,21,16,13,7
2iTsRqUsPGRH1li1WVRvKQ,335,35,30,29,32,35,25,22,32,28,29,30,8
2j78b8m1w4Sr2GVGCzFBtQ,425,28,26,38,41,45,50,49,40,28,37,33,10
2lUp2T09MltaVT5awHRElA,258,24,21,29,29,21,35,39,36,24,0,0,0
2s2ww6WaulfOEI16s1uyDg,206,35,18,63,19,9,14,18,8,9,10,3,0
2sx52lDoiEtef7xgPCaoBw,706,68,62,71,71,57,70,67,70,55,37,60,18
2weQS-RnoOBhb1KsHKyoSQ,656,47,46,61,62,49,64,68,56,58,56,65,24
33Pq0cQn3jODiIG7VwUxhw,1403,0,0,1,0,0,0,342,1059,1,0,0,0
366FaRQ1MWEHBhaEKTcriQ,209,4,7,35,24,22,15,21,19,16,16,21,9
3BCsAgo_1i4xMuTyLKMLRQ,431,48,35,62,45,38,27,33,49,32,28,26,8
3BTFQ0FTvNK9SR8zmjz0CQ,279,0,15,37,37,26,20,16,29,38,37,15,9
3C5Z9homtzkWHouH2BHXYQ,309,26,31,29,33,30,28,34,19,26,17,23,13
3Fs04IjkpmjB7B2ZVJ9tJg,274,21,19,26,27,36,33,32,28,21,13,11,7
3GEEy7RP6e4bT4LAiWFMFQ,476,44,34,47,47,30,40,46,52,50,40,39,7
3Jq5LfJ5fmJ5KmuA6VHmzw,597,56,44,53,62,47,60,56,61,56,52,37,13
3MdLnbpkvTcsKkMszUv_3g,268,35,16,23,28,34,22,33,14,17,25,16,5
3MutZJ4mfM3Ds450rbpMiw,462,39,39,56,34,46,44,40,39,51,30,34,10
3Mx4renubPRnjHUw1n2UkA,280,24,18,31,17,30,22,34,20,31,22,26,5
3OcNWCV7VrJu1qRGWEPBsg,204,4,11,12,22,23,21,18,21,19,27,16,10
3OxQiVUgZBAoELGRCgkEZw,386,12,36,38,40,41,57,45,53,24,18,19,3
3QQdF1RT43sVq2YxeE_iHw,254,35,30,36,36,33,18,20,16,9,12,7,2
3_QNAH8yVzY0sBPftWyNhQ,629,24,26,44,43,55,73,78,77,47,72,69,21
3jKUbhGSjFTv5jZ0wnW0xA,224,0,6,6,19,31,25,40,35,23,20,15,4
3kdSl5mo9dWC4clrQjEDGg,2683,190,191,226,230,264,241,280,295,200,220,284,62
3l54GTr8-E3XPbIxnF_sAA,431,44,40,71,40,44,34,26,30,30,31,27,14
3rJJeMOkVi_wEura5UCQqw,365,23,17,30,52,33,33,31,45,29,31,36,5
3sOS8wKatd_Uoa9VEJHhrw,342,45,28,26,25,39,26,35,26,32,22,21,17
3sSHcqZnEuzy3PQOuN-fZw,483,17,31,55,31,45,62,54,48,45,37,44,14
3ug1xM71zxibq5RETXCi4Q,410,40,32,33,21,44,45,44,45,46,27,23,10
3xmfT7l3xNH5LK1dLzfvGw,598,47,45,74,49,61,70,52,45,49,47,41,18
46Ld9Qc9nAx_A0jwclNZiw,341,9,12,17,31,43,43,57,46,38,21,23,1
4IGaWH9jUYMtP2uHIFEqFQ,928,73,68,74,82,94,89,84,96,85,83,66,34
4JNXUYY8wbaaDmk3BPzlWw,1230,118,126,101,91,109,115,111,106,110,92,118,33
4KOE7t4kYbYPMqWF3jU1Vg,528,0,0,0,0,11,126,166,82,51,46,35,11
4Nj2ktP2NjCbv2aKeH3ZBg,317,21,39,38,24,27,21,23,30,28,16,40,10
4OFeBLswQw8bJbkAtmYuAA,358,9,30,40,53,38,41,41,23,33,26,17,7
4Pl-ziYL2oerGyIPlwVdmA,370,29,28,21,24,51,31,40,44,28,32,39,3
4V5qDGHJ-JOJL5Wowcbjzg,852,75,103,87,68,74,75,59,85,80,45,80,21
4ZbRwCB9oGibxK21MUZKHA,213,27,17,25,23,15,21,21,14,17,13,15,5
4aCun88uZMOsAoymY5Li3w,285,20,13,33,15,30,34,43,24,9,24,33,7
4fGGeKlUY3SwqLW4SH_QnQ,224,32,20,40,25,30,17,19,10,9,10,6,6
4k3RlMAMd46DZ_JyZU0lMg,602,59,37,47,55,58,58,67,64,47,53,41,16
4oxLboB6UEcBxRwEjMrXag,202,15,15,24,19,14,13,17,16,25,21,19,4
4qG3Gh8QyugC1XvoTlmgcQ,718,46,44,56,49,75,62,79,81,96,65,48,17
4x_3EXJoJHx7A0-2m39jcw,240,27,30,12,22,15,14,26,26,22,26,15,5
4zgKJ8zEm_WEvSfWfZdLaA,217,0,0,0,0,0,0,0,0,2,98,80,37
52gkx721dD6LByYv4WyUIg,247,8,8,28,18,28,38,25,32,16,19,21,6
55E0-qUHa7Kzqz8rOhbdBQ,282,24,19,30,20,25,22,28,27,26,29,23,9
56Ll9rqG2WxXj4X2pmlkHQ,369,43,29,29,36,39,36,33,36,31,23,28,6
5DC9qePg09CHwAFVmqNjjg,464,39,43,40,45,35,36,63,42,38,37,32,14
5DDumAHRKumv3gZiPKW6iw,227,17,14,25,14,22,29,23,16,21,20,20,6
5Iz2vgFPbWKWDpE-MuWwmQ,370,104,40,38,24,26,29,22,22,27,21,12,5
5LNZ67Yw9RD6nf4_UhXOjw,2046,198,193,218,180,157,147,175,167,188,162,190,71
5T6kFKFycym_GkhgOiysIw,337,20,19,14,30,35,33,68,46,39,16,14,3
5U2tTspAnSBBtaO-UDWcKg,327,34,50,29,24,25,23,25,37,18,25,29,8
5WjFHat0vyx0OYtGbTpyag,491,24,25,75,56,44,44,40,61,46,33,25,18
5aK167zvZhGs_i7Vf4A1NQ,244,8,11,20,20,31,32,31,22,32,19,12,6
5eK_pgro9_LxPYDoRVJnEA,220,23,25,22,22,22,19,16,17,13,16,22,3
5eV8oUGdBXylwB7HeaDFOA,207,19,12,14,24,16,28,22,10,21,13,18,10
5exz18duMXvg91ZPdNX3eA,201,31,15,28,11,27,16,20,14,8,11,15,5
5keoVVM81g-nJw0Zdpl1nA,441,34,38,38,30,50,31,40,55,42,30,39,14
5ma1OUQWy_Ds80xUiP7JPQ,228,27,17,22,13,18,24,19,20,30,20,12,6
5nZVVPO_cYH9aQeClTP9zA,248,25,22,32,15,20,9,31,32,17,14,21,10
5qyVOOsTxMdEByXVkH6LQg,221,28,29,32,21,21,21,13,15,11,15,14,1
5rM7TlOWC_PlLIBbkiF-EA,228,38,30,26,22,13,32,19,7,2,17,14,8
5xdKUuu4DbJ71KGbwRXfFg,285,36,28,21,31,28,24,21,23,17,22,21,13
6-VJLO3Phc8uenJaLH54Og,908,50,69,85,99,67,102,97,81,82,81,62,33
63GKC3-BW8JY0YZewDj7XA,311,33,25,27,28,28,22,28,28,30,21,30,11
63pTKPaI7YkG0sZhMrkeQg,237,3,35,45,27,20,16,28,25,15,9,12,2
64QqZo80IOgG_CDQCM8URw,214,15,19,19,15,16,13,25,22,21,24,20,5
6Ct57qgmXwOnzfSZoUGh0Q,577,54,54,56,43,47,51,40,61,47,47,40,37
6Q7-wkCPc1KF75jZLOTcMw,348,24,24,32,32,23,37,54,42,12,30,34,4
6T39H2dGUnrM91WqvR0VcQ,293,15,16,29,28,33,35,51,29,15,21,18,3
6TRoNO3U2h5xHKYawKWnJg,371,0,0,0,0,67,143,74,45,25,15,1,1
6ZsiLiSWGK2pgw6t3LfzNQ,351,28,32,41,25,38,30,29,34,41,18,28,7
6eXGJjiUo-xNoTQkZIVlRA,241,11,16,21,12,22,20,30,27,25,24,26,7
6fz0hnNIVpLF5v2NqJfA9w,273,25,26,30,23,27,13,30,24,18,24,28,5
6hZgMg9rnDCC0RBVRlkZwQ,226,18,13,17,12,10,20,20,24,24,35,26,7
6kkxRV8H9SQLybj0xnEbMw,388,29,41,22,27,27,38,53,38,32,41,26,14
6t7mlTVjDA9fhuFAZmVzAQ,271,22,28,40,25,29,13,26,22,18,21,19,8
77h11eWv6HKJAgojLx8G4w,1165,111,108,111,102,98,83,113,102,106,89,105,37
7GHtTixfTGFxx3JG2NdEdQ,219,16,32,22,15,19,36,20,20,12,5,12,10
7HIa2lYy5jgcZuADlRjKSg,215,7,27,24,21,26,17,9,18,17,17,23,9
7MeMGh0SUlF-GuTyruwtcw,241,19,18,23,20,18,27,30,22,20,21,21,2
7P9pfy7Lp7aH_Arh1OMOAA,239,3,7,3,8,16,4,10,28,27,63,59,11
7RTwUpuPFnIHPoTmWJpWhQ,208,31,33,32,20,23,2,1,6,8,22,23,7
7SJoMX5ti-VoEsEW6mJLRA,304,37,24,29,24,23,31,5,31,49,18,27,6
7XiRql62fRgP7RC08FizTA,236,27,20,15,18,23,25,22,21,24,13,18,10
7enchAqu62VvXXLkxdQnLQ,322,0,0,0,0,0,0,35,49,112,59,47,20
7hWNnAj4VwK6FAUBN8E8lg,233,13,26,23,25,25,24,18,21,28,15,10,5
7sb2FYLS2sejZKxRYF9mtg,775,69,63,53,50,72,68,73,81,68,70,80,28
7svPiqFz7ad82VcdDbBcJw,205,5,8,14,14,17,22,27,21,25,25,20,7
7uGsMlo8_uIZIITKfhEARA,291,39,29,31,17,22,13,43,28,30,10,21,8
7wHLFohwCw8l6WS-feLjeg,204,31,22,19,16,15,16,20,16,12,17,14,6
7wMCJ9NqL9eBEX4WdJWuIA,765,51,50,57,66,86,84,87,81,66,70,50,17
8-8btzuYZCqEVOPwk0YYfA,323,42,42,33,33,23,26,24,25,26,22,21,6
81WMGpA8CVYlPhuhZatkXw,206,27,22,15,25,27,18,20,9,15,15,9,4
82YGtjc5KKikNiqBZ33qzw,514,35,32,45,45,40,29,28,74,61,54,43,28
82g1PwX5FvclqqdjJHcVNA,267,29,36,34,27,22,27,17,18,21,15,15,6
85nvKTJSN8byoeGRxzGkug,221,17,25,22,25,24,23,22,16,20,10,14,3
8796vXaydw2aY_zER0n9uA,228,25,25,27,20,21,16,13,19,24,12,18,8
88ht4Su4ejlSnEeW4RpcJA,280,0,0,37,55,41,47,27,38,11,10,11,3
8IhjRWSkD4P5YWYhBOme3Q,380,38,32,41,53,39,27,21,32,31,30,25,11
8N5KG-iuAJrPVL6awBzBaQ,276,24,19,23,22,21,26,36,47,23,13,14,8
8Rldc7fp2Bbp7NDae_HGRg,1313,0,0,0,161,180,181,104,104,154,200,195,34
8TZmBlMzzEgbsuPKd31xPw,237,18,25,18,15,22,27,21,29,22,15,14,11
8Yz1eFsaUy-ny3B6YZDOrg,873,35,127,59,42,118,140,90,49,52,84,57,20
8bZel-JgYDJFlnZo9ET4Pw,262,24,3,8,5,12,38,49,29,26,35,28,5
8jY2yCyy85bkhDbzqMnV4Q,246,24,25,26,22,21,25,17,19,18,21,19,9
8m6aYLXljejthCeBfrpuOA,201,26,29,25,25,21,15,10,12,9,10,12,7
8mIrX_LrOnAqWsB5JrOojQ,232,24,18,12,18,17,27,20,27,14,20,30,5
8xI4hJ3nS4avEoo_l62dkw,248,21,20,19,20,19,24,19,19,20,28,28,11
8zO1gDlfujftc6ZJr43nHA,409,67,28,40,36,29,35,27,34,35,31,36,11
9-cVW8wSRoE6Nmnc7v0uUA,207,21,20,15,12,14,18,24,21,18,17,24,3
90gxBZhbg9XcTLdPrwoaXA,363,35,37,42,37,29,38,26,39,23,30,17,10
94c68u2I7X6YK54hrjy7FQ,209,16,25,23,16,24,16,21,13,15,14,21,5
9MVKjEMN5T59uzG1xoD2BQ,464,36,22,34,34,40,55,39,56,49,47,35,17
9PIC380tmNYpIC3z5cvcNA,555,64,63,64,41,45,46,53,53,43,29,40,14
9SU7ZZhaFUJJ6m2k5HKHeg,375,31,37,57,30,34,42,27,39,14,25,33,6
9XFarEHVgf4KJ8pd51rKyw,256,11,3,5,24,28,16,64,49,32,20,4,0
9XXeFt-S-mlVVk2eccQanQ,249,0,0,0,49,36,47,47,47,16,1,6,0
9a3DrZvpYxVs3k_qwlCNSw,246,23,30,26,24,20,22,9,16,15,28,20,13
9edPSkfXKsJmkZYIaOmA7Q,700,71,55,69,74,65,51,65,60,42,55,77,16
9fTDeI6mApFX52qYJ8z0mw,294,32,35,23,32,31,16,18,26,24,26,24,7
9km51KaQujxsSgdaG9gYSw,763,53,44,61,44,41,74,85,88,109,85,70,9
9vG7UBYjYLDNb3VS1EZqEw,1505,95,73,83,82,77,76,136,176,175,215,215,102
9x5YH2z8c5K74-Hdf3NPkg,301,31,55,33,23,21,17,36,12,23,20,23,7
A-uZAD4zP3rRxb44WUGV5w,411,44,30,37,31,37,33,41,39,39,39,31,10
A22VviMhaGplsabsXhxBTg,544,0,7,15,29,36,54,95,52,54,69,87,46
A5Rkh7UymKm0_Rxm9K2PJw,407,34,37,54,37,48,32,37,34,25,27,28,14
A7oe4R7dnleHF4BklL6bNg,227,62,24,14,12,17,16,28,14,11,12,11,6
AALUV62lWxxVqDYaK-ckMw,452,42,34,37,40,35,34,42,55,39,41,38,15
ALwAlxItASeEs2vYAeLXHA,235,14,16,23,21,28,22,26,25,12,19,20,9
ATaDg2kdS9GTln1-tS6iIw,1408,126,98,160,129,152,157,146,154,117,80,75,14
AV6weBrZFFBfRGCbcRGO4g,688,63,78,48,70,54,61,64,52,63,61,51,23
AVCD-zzzeaNvC-znOZEhsg,236,21,24,32,37,25,21,17,10,16,16,14,3
AfVp8ozD_4maZMos6AC2cQ,380,34,42,39,31,29,29,40,31,36,32,27,10
AhPmh0NaRDbEYyhd9egzLA,359,22,30,49,39,37,27,35,30,29,23,30,8
Ai5mo_6JivsrywF9Qae1pQ,211,10,10,18,21,8,9,16,24,35,25,21,14
Ap17p-tA4Ipzy1s35DfCfg,299,23,23,30,24,41,18,24,39,33,20,19,5
Arox2o0zyinAFrsE_HDtHg,228,27,16,30,17,16,22,23,14,21,26,16,0
Ax0kP-g5AMTZQlm3BH0H_Q,285,34,39,26,32,33,40,26,15,11,10,13,6
Az_60nNuh1FH8Ds8oasZjw,427,35,36,32,37,34,34,44,38,40,35,49,13
Azy2vmC47uHSkZE2fdvBjA,297,27,29,26,31,45,29,24,19,20,21,24,2
B1nx3iQSafeHjN0uhpW4Kg,288,45,36,29,29,29,24,18,21,15,21,17,4
BFibmswPtBNyChp8vBHRsg,995,108,109,105,61,92,73,97,90,72,78,78,32
BGoTbgYZXjigGJ9rJ7YBsg,203,45,21,19,22,10,24,14,20,12,4,8,4
BIBWGO_r_1znnlmLbp4Nxg,617,41,39,50,59,57,50,76,65,56,54,53,17
BIuXMWuQIlC1ZlC3lTzy-w,319,37,31,37,28,37,24,39,29,16,10,23,8
BLIJ-p5wYuAhw6Pp6mh6mw,982,72,89,78,114,77,78,91,95,90,79,97,22
BORPULADzZV6_LJZzcsywQ,327,36,26,32,18,44,24,28,39,29,15,31,5
BUdPHseUBhZ_3wGW-GX7Mg,279,38,36,52,40,39,40,32,2,0,0,0,0
BWCfyBdnTvuXp6A_8wt8cA,295,0,0,19,43,39,39,20,19,32,34,41,9
BdF17gFawezAcr9wyyXmpQ,214,30,25,23,14,15,18,17,22,12,14,17,7
Bh3fRjirjRYDl2tufa42UA,1052,137,99,83,114,120,88,88,92,60,69,68,34
BiGJEC4WxcoW578wi1UBMw,402,25,41,39,34,36,45,30,38,31,41,29,13
BjrKNWhtQkedHw8hP_0Bjg,2683,26,30,143,764,761,588,207,53,38,25,41,7
BqlN9J6SBR3cOCWUqiHdhw,217,3,4,27,22,35,21,16,18,14,26,22,9
BxKe9Xt_fN6qBzrTofHuEQ,563,47,39,54,58,69,62,64,41,40,38,43,8
ByFMv3p5X1aNeZhU61rDcA,346,28,31,30,29,24,42,30,36,35,23,24,14
C133mywi5QcjV6WGztf6mw,216,0,0,4,30,16,20,20,25,21,29,37,14
C2BR0TjNacoNzItPLUHTAA,264,22,18,31,33,19,24,29,19,19,22,21,7
C8D_GU9cDDjbOJfCaGXxDQ,300,30,30,35,21,28,23,22,18,31,18,36,8
C9ImzBi5fn742ZcAYDww2A,246,23,24,30,18,25,21,31,21,18,14,14,7
CO_pozE8p0bmptoeVQQk4Q,211,21,15,16,17,19,13,21,21,16,23,19,10
CPi7KGba3x3QjMmIqD4aWw,521,44,27,34,47,49,53,60,71,32,42,49,13
CQk3WJtULz_xOkUM6o7wpQ,235,14,18,22,26,18,24,32,19,21,12,27,2
CVKOPzBVOj3_apFUmZ9ZWw,568,50,50,61,37,58,49,58,51,36,43,63,12
CX86HjLm-fK8ix0xe5LwiA,243,19,18,18,17,27,20,29,19,28,14,25,9
CcQCwULrYb37Bd86609yzg,274,43,37,37,20,18,18,18,21,19,9,22,12
CdxWhFBtjl0LBqlQEfxX8A,2968,222,211,197,139,154,243,404,312,286,377,303,120
Cf6fac73iYBXwkul-lm4vw,242,23,17,33,32,23,24,39,14,17,9,6,5
CiYLq33nAyghFkUR15pP-Q,334,30,25,27,26,28,17,38,28,42,18,40,15
Cly7wJhbXIDID_quND01_w,394,48,41,53,26,39,33,38,26,35,22,20,13
CoyeXg8FBsS_d20QzNIy-A,375,45,45,50,34,33,27,23,21,25,35,33,4
Cy8XYYDrZ5wd3Bq-toXMsg,238,26,23,15,23,17,21,24,26,17,24,19,3
D-2t7fHQu6hNLjjfRHSZaA,271,26,26,30,35,21,19,24,16,16,29,22,7
D3dAx-QW_uuClz4MambeHA,243,18,30,33,21,31,26,12,15,18,10,23,6
D6WXf0lB4pfuXZH3P7c5Ow,252,26,26,23,18,33,22,15,29,16,19,16,9
D8yYMxz0p6oQnOQnLRUIyA,741,54,91,81,91,72,75,50,104,40,28,39,16
DESv2ys6SjBKA4SyDtJvxw,329,20,25,28,26,41,45,31,23,28,21,33,8
DEr6oxw1bWb6vCCr9DSl1g,323,29,34,42,27,28,29,28,18,20,15,37,16
DNSDAtD6uxQkoZkQe2v4ew,297,36,37,36,33,28,17,24,11,29,14,26,6
DYAorbxOyubUB_wtQRCdug,357,35,31,34,26,22,41,35,33,29,30,27,14
DYuOxkW4DtlJsTHdxdXSlg,234,19,13,26,20,23,27,22,21,19,19,15,10
DZwR0EIPKlmC3mMLhTkqcQ,472,29,30,40,44,53,57,35,37,58,39,31,19
D_24gRsnae7guxJE8gLgtw,1372,138,120,126,132,109,113,156,113,119,124,103,19
DbEszO3wk1xVmN3pCPob2g,651,64,69,74,45,57,52,56,51,55,53,56,19
DfgZlNgKwBvCpA_0alumXw,767,61,55,66,78,57,76,80,67,53,74,78,22
DkYS3arLOhA8si5uUEmHOw,435,37,42,40,42,45,38,38,43,39,24,35,12
DncyhhT6-T-_g961pbEftA,430,35,43,45,44,42,37,41,33,35,29,31,15
DxgSVufr_6y_Rc63CC17Zg,309,27,25,30,31,26,30,26,28,23,22,32,9
DyOzNIeXUksPNLXYHnB-oQ,424,54,41,38,37,31,35,50,37,33,40,17,11
DzKl51tivGJMLiNsQqf38w,282,24,26,23,32,17,25,32,27,28,20,18,10
E4JyAzB5_2quptwtemyhYA,294,21,25,44,26,18,34,23,18,22,24,31,8
E62l6LwZJ7lKaExcUbrtYw,237,16,19,27,18,25,27,17,38,22,12,11,5
E83nSU_y9zedOzQnkTjV1g,384,31,31,39,34,28,34,33,38,33,27,41,15
EAwh1OmG6t6p3nRaZOW_AA,526,48,44,49,50,40,59,44,33,42,50,43,24
EDcZRvERC22Cvw1yi4-VKg,417,37,26,48,43,40,44,29,44,36,30,27,13
EEWQsBjVkeXqIMXqdIeRMg,314,19,32,13,33,42,34,31,33,25,23,21,8
EM4Qo0Tm40H8Nfk3s8Dy0g,256,17,29,49,25,27,25,30,25,15,12,2,0
EO2LIIpXIsaP30Sf3ZKTNg,439,0,0,0,0,100,55,75,58,54,40,43,14
EReVQGFkFgRWmGrr0voDSg,284,85,62,32,52,18,13,3,8,4,4,3,0
ES0ijQ-KlNPUoXl4tK1tDQ,292,24,22,38,23,33,36,20,29,30,11,21,5
EVlKBiHSr2ZUk9GsWwW_Yw,340,31,31,46,26,26,25,38,38,27,14,25,13
EWbNTPW0co_X4lZRB-QTLQ,357,19,21,17,23,47,40,35,36,41,24,32,22
E_7RIDFNQfxREnI_E5h0uA,576,63,62,64,56,40,51,53,58,51,36,31,11
Ec9CBmL3285XkeHaNp-bSQ,658,72,48,53,44,71,70,52,72,59,40,54,23
EdY6q0CO2mlATpoTFkvHAw,205,18,18,17,18,22,20,16,16,15,25,17,3
Ef5P6C2yHAv08FPif5Rdtg,204,20,26,23,12,19,26,12,10,23,10,18,5
EhIMjTklf4QPvRvMIhoQiA,331,16,19,37,32,27,43,26,34,30,29,29,9
Ehy00JWQixgoXzisVKhvag,213,49,14,16,11,13,21,20,23,12,11,17,6
EjklATg4aNBWINenUySCgQ,222,28,26,15,29,18,15,22,14,16,20,16,3
EjzMHfwqAmj7BgdzQjquRQ,251,55,42,53,41,49,11,0,0,0,0,0,0
EkYbGk9L5KdCfL3ocZ7ETQ,662,1,19,61,62,60,85,74,72,79,68,59,22
El4FC8jcawUVgw_0EIcbaQ,1324,110,98,137,116,95,121,124,131,117,103,115,57
ElWzx5_fU8S2G45OnM-HpA,613,40,52,87,74,41,64,37,34,53,55,51,25
EnCIojgP5KTr1leaysFE3A,251,20,12,29,24,25,15,20,21,31,20,27,7
