,business_id,total_checkin,01,02,03,04,05,06,07,08,09,10,11,12,Name,City,State,Category,Rating,Review Count
14,-a857YYdjzgOdOjFFRsRXQ,265,24,12,27,37,26,13,28,21,19,26,23,9,Beer Park,Las Vegas,NV, beerbar cocktailbars tradamerican,4.0,811.0
15,-bMZCfTK7fxFaURynKpBMA,201,21,9,31,20,27,20,12,12,20,10,16,3,Mariscos Playa Hermosa,Phoenix,AZ, mexican seafood,4.5,721.0
16,-ed0Yc9on37RoIoG2ZgxBA,420,47,37,47,30,30,43,38,38,37,33,32,8,Le Thai,Las Vegas,NV, thai beergardens,4.0,2003.0
17,-fZ4jE_7FKos0MQvMqoj5Q,350,0,0,0,70,52,62,26,28,36,30,33,13,Culinary Dropout,Gilbert,AZ, newamerican,4.0,449.0
18,-io9loC11Z73p_QDAWytpA,356,0,0,38,47,43,47,42,41,36,23,28,11,Scenic Brewing Company,Las Vegas,NV, sportsbars breweries newamerican,4.5,250.0
19,-kG0N8sBhBotMbu0KVSPaw,1715,184,130,161,149,150,178,171,159,159,110,110,54,Toronto Pearson International Airport,Mississauga,ON, airports,3.0,1022.0
20,-kIscN8I29eXMPkvyyxmRQ,234,17,26,26,21,17,18,30,33,13,12,17,4,Zookz Sandwiches,Phoenix,AZ, sandwiches breakfast_brunch salad,4.5,892.0
21,-oUM2uISux96lMGeawHIOA,582,38,48,47,28,63,52,73,57,51,62,45,18,Sugar Factory,Las Vegas,NV, candy bars tradamerican,3.5,1409.0
22,-qYuPncpK8elgD-6Qx3v7A,615,30,45,63,68,72,50,61,62,73,35,40,16,Flock & Fowl,Las Vegas,NV, asianfusion newamerican singaporean,4.0,478.0
23,-wvWO7UlQNK2IprIukH9uQ,214,13,17,46,32,36,21,14,11,8,11,2,3,Jon Smith Subs,Las Vegas,NV, hotdogs delis sandwiches,4.0,167.0
24,-zbcosKSMGDhaZYN-CrcVA,265,17,19,20,28,26,21,33,33,21,19,20,8,Target,Las Vegas,NV, deptstores furniture electronics,3.5,141.0
25,01VPJkcU0m8WzlA7dCEpVQ,245,23,22,21,17,13,4,15,25,10,18,58,19,Tea Space,Las Vegas,NV, coffee bubbletea,4.5,373.0
26,01fuY2NNscttoTxOYbuZXw,230,11,20,29,20,26,24,20,21,16,21,21,1,Pinky's Westside Grill,Charlotte,NC, burgers tradamerican salad,4.0,1211.0
27,024QUHVU7nlyW5y2BeeGLg,261,19,16,11,32,27,21,13,33,28,20,32,9,Kyoto Scottsdale,Scottsdale,AZ, sushi teppanyaki cocktailbars,3.5,317.0
28,042IHd5KjHiMuBtGtugO_g,235,32,26,27,18,22,29,15,15,11,15,18,7,OHSO Brewery - Paradise Valley,Phoenix,AZ, breweries burgers gluten_free,4.0,747.0
29,07AZL5XenCQ_-op_onKLdw,253,27,16,18,12,22,32,27,29,37,18,9,6,BLT Steak - Temporarily Closed,Las Vegas,NV, steak,4.0,696.0
31,0EgYXYjt2XJL4hlsKnzrcw,369,30,38,32,39,28,29,36,19,32,32,38,16,PublicUs,Las Vegas,NV, cafes coffee newamerican,4.5,1160.0
32,0FUtlsQrJI7LhqDPxLumEw,325,30,28,43,28,28,25,33,20,31,26,23,10,Joe's Farm Grill,Gilbert,AZ, tradamerican pizza salad,4.0,2419.0
33,0KjY3gmtqQjc4sK-uG-6fQ,202,13,12,9,8,17,25,32,21,26,20,12,7,Pinkbox Doughnuts,Henderson,NV, bakeries donuts,4.0,596.0
34,0LmDg_Y6Ht3zFqtvmLhp6g,286,30,27,39,21,29,15,21,22,30,19,25,8,Cornish Pasty,Phoenix,AZ, pubs british,4.0,508.0
35,0QzCeORfF8EY34UODWRV9A,256,26,19,26,39,14,30,28,18,29,13,13,1,Sunset Station Hotel and Casino,Henderson,NV, hotels casinos,3.0,631.0
36,0RELQcu2_pIQH-nkPICOSw,494,34,24,79,57,46,40,46,48,32,49,33,6,Rapha Tea,Chandler,AZ, bubbletea coffee sandwiches,4.5,199.0
37,0V18KwdtfsdrIu9xyO4GLg,324,41,35,28,25,25,22,20,39,16,36,29,8,Thai Delight,Phoenix,AZ, thai seafood desserts,4.5,294.0
38,0W4lkclzZThpx3V65bVgig,401,19,21,32,31,47,38,56,47,54,30,21,5,Schwartz's,Montreal,QC, delis sandwiches,4.0,2687.0
40,0WoQQlMXVIDEgI0xNdENKA,245,27,25,22,21,20,17,18,21,26,21,23,4,Feast Buffet,Las Vegas,NV, buffets,3.5,767.0
41,0_aeYE2-VbsZts_UpILgDw,377,32,22,40,36,35,33,39,38,30,32,28,12,Lazy Dog Restaurant & Bar,Las Vegas,NV, newamerican comfortfood burgers,4.0,1582.0
42,0d0i0FaJq1GIeW1rS2D-5w,659,48,55,59,58,77,63,70,59,54,46,44,26,Bruxie,Las Vegas,NV, breakfast_brunch sandwiches chickenshop,4.5,1917.0
43,0j7VWa5uGebj_94C1K2i2g,202,23,14,25,16,15,20,19,14,15,15,19,7,Walmart Supercenter,Las Vegas,NV, deptstores grocery,2.5,155.0
44,0w3BdEOxvwKTpypwbN5kiQ,222,18,8,17,17,13,23,29,23,23,18,20,13,Tofu Hut,Las Vegas,NV, korean bbq,3.5,774.0
45,0wW9PasC8pw8SY7rlY3ZKw,264,31,21,29,31,20,14,29,24,21,16,22,6,Fish King Grill,Las Vegas,NV, seafood cajun southern,4.5,428.0
46,15YuEFO59yXd7BTO5NZgYw,345,24,42,38,38,24,27,24,25,32,27,32,12,Vito’s Pizza & Italian Ristorante - Mesa,Mesa,AZ, italian pizza catering,4.0,493.0
47,16d3BlncEyCTzb0GxXrBXQ,228,25,22,26,19,13,29,19,13,21,10,20,11,Green Corner Restaurant,Mesa,AZ, mediterranean salad greek,4.5,905.0
49,1CP8aJa8ILlfM5deroar0Q,244,1,4,2,1,1,3,70,110,20,5,24,3,Wingstop,Las Vegas,NV, chicken_wings,3.0,199.0
50,1DP5vHxJzCDbgawv0WC3yA,220,25,7,8,15,18,21,19,17,25,28,23,14,Rose Rabbit Lie,Las Vegas,NV, theater newamerican cocktailbars,4.0,1136.0
52,1O0JT3O8TCULYhu-AIziwg,207,25,17,22,23,19,18,14,24,17,18,6,4,Cold Beers & Cheeseburgers,Gilbert,AZ, bars tradamerican burgers,3.5,393.0
53,1TTQ41NqKks69GltQSQNIA,210,22,18,10,13,21,27,17,25,15,17,16,9,Suncoast Hotel & Casino,Las Vegas,NV, hotels casinos,3.0,475.0
54,1ZusRIDxNN0JKQtuGqq_xQ,489,52,37,37,31,35,41,33,83,57,41,30,12,Lightning Lube,Scottsdale,AZ, autorepair oilchange,4.5,237.0
55,1aEk5vowhhTa-C3EqxdEFw,318,27,27,28,29,26,33,27,37,29,23,23,9,Soru Ramen,Las Vegas,NV, ramen japacurry,4.0,202.0
56,1aMxCG33wAoxjWoeRsl4BA,321,20,9,17,20,40,33,34,41,32,34,31,10,Brioche by Guy Savoy - Temporarily Closed,Las Vegas,NV, coffee bakeries french,3.5,90.0
57,1aVbXH_4uQCTQU7HfGmyow,1261,117,104,142,110,139,95,117,117,106,97,89,28,Brew Tea Bar,Las Vegas,NV, coffee bubbletea,5.0,546.0
58,1bdwB6hxMUnSKF8bCsmuZA,365,36,25,46,32,33,33,34,44,22,23,30,7,Tea of Joy,Las Vegas,NV, bubbletea juicebars tea,4.0,391.0
59,1qkKfqhO8z2XMzLLDFE96Q,656,69,70,78,44,63,63,64,59,57,41,28,20,Kodo Sushi Sake,Scottsdale,AZ, sushi japanese,5.0,745.0
60,1qwkbN3wu3AGDxMTXVz2gA,308,27,28,33,35,33,33,24,23,12,29,18,13,Topgolf,Scottsdale,AZ, golf newamerican sportsbars,4.0,1074.0
61,1t5hd9IXLpBOv3ICtk-bCw,405,45,39,45,42,35,42,51,29,25,33,16,3,Dutch Bros Coffee,Las Vegas,NV, coffee juicebars,4.5,248.0
62,1u6-Fy87nmWyGlG0VA1jqQ,438,36,25,42,32,27,50,39,38,35,51,43,20,Walmart Supercenter,Las Vegas,NV, grocery deptstores,2.5,129.0
63,1ufk_GFAX_5foAZnbM_U6A,953,65,60,76,63,70,62,74,97,123,118,104,41,McCarran Airport Terminal 1,Las Vegas,NV, airportterminals,3.5,84.0
64,1xB0Qf2-TN6CQ5c4Fh7vqg,305,40,18,22,45,39,37,40,31,14,9,9,1,Taiyaki NYC - Toronto,Toronto,ON, icecream desserts japanese,4.0,261.0
65,2OJrznHaA4Gz_KYbQnAuzQ,213,19,12,18,20,25,15,20,24,19,20,18,3,Volcano Tea House,Las Vegas,NV, coffee bubbletea icecream,3.5,418.0
66,2SfSzEd3B7WimeZac23zhg,222,29,25,28,19,29,27,20,6,1,10,20,8,Leoné Café,Las Vegas,NV, cafes breakfast_brunch,4.5,851.0
67,2XQCX26OnIC_pap-5E2EMQ,288,0,20,49,24,51,38,26,31,14,13,19,3,Umai Ramen,Henderson,NV, ramen,4.5,222.0
68,2_qLxCT0jHM8Xqk6PEwrBw,336,31,29,29,47,24,22,31,33,31,26,22,11,Slater's 50/50,Las Vegas,NV, burgers newamerican sportsbars,4.5,900.0
69,2adhYiY1IQ5flntw30Sdew,203,12,20,19,30,31,11,18,11,16,12,13,10,Copper Blues Live,Phoenix,AZ, bars musicvenues tradamerican,4.0,170.0
70,2cKAew-9iLS-mo-TtOgFiA,240,0,0,8,51,57,25,17,25,21,16,13,7,Raku,Toronto,ON, japanese noodles,4.0,214.0
71,2iTsRqUsPGRH1li1WVRvKQ,335,35,30,29,32,35,25,22,32,28,29,30,8,Carson Kitchen,Las Vegas,NV, newamerican desserts cocktailbars,4.5,2388.0
72,2j78b8m1w4Sr2GVGCzFBtQ,425,28,26,38,41,45,50,49,40,28,37,33,10,Que Onda Tacos + Tequila,Charlotte,NC, mexican bars,4.0,315.0
73,2lUp2T09MltaVT5awHRElA,258,24,21,29,29,21,35,39,36,24,0,0,0,I. C. China Bistro,Las Vegas,NV, chinese,4.5,183.0
74,2s2ww6WaulfOEI16s1uyDg,206,35,18,63,19,9,14,18,8,9,10,3,0,Cafe Darak,Las Vegas,NV, coffee desserts,4.5,408.0
75,2sx52lDoiEtef7xgPCaoBw,706,68,62,71,71,57,70,67,70,55,37,60,18,VegeNation,Las Vegas,NV, vegan,4.5,1692.0
77,33Pq0cQn3jODiIG7VwUxhw,1403,0,0,1,0,0,0,342,1059,1,0,0,0,Yelp Booth,Montreal,QC, yelpevents,4.5,36.0
78,366FaRQ1MWEHBhaEKTcriQ,209,4,7,35,24,22,15,21,19,16,16,21,9,Spinato's Pizza,Tempe,AZ, pizza italian sandwiches,4.5,775.0
79,3BCsAgo_1i4xMuTyLKMLRQ,431,48,35,62,45,38,27,33,49,32,28,26,8,SkinnyFATS,Las Vegas,NV, juicebars newamerican breakfast_brunch,4.5,2592.0
80,3BTFQ0FTvNK9SR8zmjz0CQ,279,0,15,37,37,26,20,16,29,38,37,15,9,Lamaii,Las Vegas,NV, thai wine_bars cocktailbars,4.5,197.0
82,3Fs04IjkpmjB7B2ZVJ9tJg,274,21,19,26,27,36,33,32,28,21,13,11,7,Lucky's Market,Cleveland,OH, grocery delis healthmarkets,4.0,82.0
83,3GEEy7RP6e4bT4LAiWFMFQ,476,44,34,47,47,30,40,46,52,50,40,39,7,Pizza Rock,Las Vegas,NV, pizza,4.0,2499.0
84,3Jq5LfJ5fmJ5KmuA6VHmzw,597,56,44,53,62,47,60,56,61,56,52,37,13,Topgolf,Las Vegas,NV, golf newamerican sportsbars,4.0,1478.0
85,3MdLnbpkvTcsKkMszUv_3g,268,35,16,23,28,34,22,33,14,17,25,16,5,Pokedon,Tempe,AZ, poke seafood hawaiian,4.5,278.0
87,3Mx4renubPRnjHUw1n2UkA,280,24,18,31,17,30,22,34,20,31,22,26,5,OMNIA Nightclub-Temporarily Closed,Las Vegas,NV, danceclubs bars adultentertainment,3.0,1354.0
88,3OcNWCV7VrJu1qRGWEPBsg,204,4,11,12,22,23,21,18,21,19,27,16,10,The Club LAS Terminal 1,Las Vegas,NV, airportlounges,3.0,154.0
89,3OxQiVUgZBAoELGRCgkEZw,386,12,36,38,40,41,57,45,53,24,18,19,3,Tea Way Plus,Las Vegas,NV, bubbletea coffee juicebars,5.0,151.0
90,3QQdF1RT43sVq2YxeE_iHw,254,35,30,36,36,33,18,20,16,9,12,7,2,My Pie Pizza,Las Vegas,NV, pizza,4.5,149.0
91,3_QNAH8yVzY0sBPftWyNhQ,629,24,26,44,43,55,73,78,77,47,72,69,21,The Foot Spa,Las Vegas,NV, massage massage_therapy,4.0,1103.0
92,3jKUbhGSjFTv5jZ0wnW0xA,224,0,6,6,19,31,25,40,35,23,20,15,4,Les Deux Gamins,Montreal,QC, french wine_bars,4.0,544.0
93,3kdSl5mo9dWC4clrQjEDGg,2683,190,191,226,230,264,241,280,295,200,220,284,62,Egg & I,Las Vegas,NV, breakfast_brunch burgers tradamerican,4.5,4129.0
94,3l54GTr8-E3XPbIxnF_sAA,431,44,40,71,40,44,34,26,30,30,31,27,14,Rehab Burger Therapy,Scottsdale,AZ, burgers bars newamerican,4.5,2436.0
95,3rJJeMOkVi_wEura5UCQqw,365,23,17,30,52,33,33,31,45,29,31,36,5,Massage Envy - Rock Spring,Las Vegas,NV, massage skincare massage_therapy,3.5,85.0
96,3sOS8wKatd_Uoa9VEJHhrw,342,45,28,26,25,39,26,35,26,32,22,21,17,Miracle Mile Delicatessen,Phoenix,AZ, delis tradamerican,4.5,321.0
98,3ug1xM71zxibq5RETXCi4Q,410,40,32,33,21,44,45,44,45,46,27,23,10,South Mountain Park,Phoenix,AZ, parks hiking,4.5,279.0
99,3xmfT7l3xNH5LK1dLzfvGw,598,47,45,74,49,61,70,52,45,49,47,41,18,Fremont Street Experience,Las Vegas,NV, bars casinos,3.5,1693.0
100,46Ld9Qc9nAx_A0jwclNZiw,341,9,12,17,31,43,43,57,46,38,21,23,1,Olive & Gourmando,Montreal,QC, sandwiches breakfast_brunch,4.5,1398.0
101,4IGaWH9jUYMtP2uHIFEqFQ,928,73,68,74,82,94,89,84,96,85,83,66,34,Cleveland Hopkins International Airport - CLE,Cleveland,OH, airports,3.0,634.0
102,4JNXUYY8wbaaDmk3BPzlWw,1230,118,126,101,91,109,115,111,106,110,92,118,33,Mon Ami Gabi,Las Vegas,NV, french steak breakfast_brunch,4.0,9445.0
103,4KOE7t4kYbYPMqWF3jU1Vg,528,0,0,0,0,11,126,166,82,51,46,35,11,Cubanidad,Las Vegas,NV, cuban sandwiches,4.5,380.0
104,4Nj2ktP2NjCbv2aKeH3ZBg,317,21,39,38,24,27,21,23,30,28,16,40,10,Vesta Coffee Roasters,Las Vegas,NV, coffeeroasteries coffee breakfast_brunch,4.5,408.0
105,4OFeBLswQw8bJbkAtmYuAA,358,9,30,40,53,38,41,41,23,33,26,17,7,Vegas Discount Nutrition SUPERSTORE,Las Vegas,NV, vitaminssupplements healthmarkets,5.0,52.0
106,4Pl-ziYL2oerGyIPlwVdmA,370,29,28,21,24,51,31,40,44,28,32,39,3,Chuchote Thai Bistro & Desserts,Las Vegas,NV, thai desserts,4.5,403.0
107,4V5qDGHJ-JOJL5Wowcbjzg,852,75,103,87,68,74,75,59,85,80,45,80,21,Snakes & Lattes Tempe,Tempe,AZ, newamerican cafes,4.0,346.0
108,4ZbRwCB9oGibxK21MUZKHA,213,27,17,25,23,15,21,21,14,17,13,15,5,Smith's,Las Vegas,NV, grocery drugstores delis,2.5,101.0
109,4aCun88uZMOsAoymY5Li3w,285,20,13,33,15,30,34,43,24,9,24,33,7,Icy Juicy,Las Vegas,NV, taiwanese coffee desserts,3.5,438.0
110,4fGGeKlUY3SwqLW4SH_QnQ,224,32,20,40,25,30,17,19,10,9,10,6,6,Cafe Lola,Las Vegas,NV, cafes coffee,4.0,377.0
111,4k3RlMAMd46DZ_JyZU0lMg,602,59,37,47,55,58,58,67,64,47,53,41,16,Ramen Sora,Las Vegas,NV, ramen noodles soup,4.0,1612.0
112,4oxLboB6UEcBxRwEjMrXag,202,15,15,24,19,14,13,17,16,25,21,19,4,Exploration Peak Park,Las Vegas,NV, parks playgrounds,4.5,236.0
113,4qG3Gh8QyugC1XvoTlmgcQ,718,46,44,56,49,75,62,79,81,96,65,48,17,Egg Works,Las Vegas,NV, tradamerican breakfast_brunch burgers,4.5,887.0
114,4x_3EXJoJHx7A0-2m39jcw,240,27,30,12,22,15,14,26,26,22,26,15,5,Mutao Wellness Spa,Las Vegas,NV, massage reflexology spas,4.5,285.0
116,52gkx721dD6LByYv4WyUIg,247,8,8,28,18,28,38,25,32,16,19,21,6,Tap And Bowl,Scottsdale,AZ, newamerican beerbar cocktailbars,4.5,162.0
117,55E0-qUHa7Kzqz8rOhbdBQ,282,24,19,30,20,25,22,28,27,26,29,23,9,Costco Gasoline,Henderson,NV, servicestations,4.5,49.0
118,56Ll9rqG2WxXj4X2pmlkHQ,369,43,29,29,36,39,36,33,36,31,23,28,6,Sweet Tomatoes,Las Vegas,NV, buffets vegetarian salad,3.5,320.0
119,5DC9qePg09CHwAFVmqNjjg,464,39,43,40,45,35,36,63,42,38,37,32,14,Fries N' Pies,Las Vegas,NV, pizza beer_and_wine poutineries,4.5,318.0
120,5DDumAHRKumv3gZiPKW6iw,227,17,14,25,14,22,29,23,16,21,20,20,6,Nami,Phoenix,AZ, coffee vegan bakeries,4.5,793.0
121,5Iz2vgFPbWKWDpE-MuWwmQ,370,104,40,38,24,26,29,22,22,27,21,12,5,SkinnyFATS,Henderson,NV, newamerican sandwiches beer_and_wine,4.5,307.0
122,5LNZ67Yw9RD6nf4_UhXOjw,2046,198,193,218,180,157,147,175,167,188,162,190,71,The Cosmopolitan of Las Vegas,Las Vegas,NV, hotels casinos,4.0,4809.0
123,5T6kFKFycym_GkhgOiysIw,337,20,19,14,30,35,33,68,46,39,16,14,3,La Banquise,Montreal,QC, poutineries,4.0,1954.0
124,5U2tTspAnSBBtaO-UDWcKg,327,34,50,29,24,25,23,25,37,18,25,29,8,The Stove,Henderson,NV, newamerican breakfast_brunch,4.0,795.0
125,5WjFHat0vyx0OYtGbTpyag,491,24,25,75,56,44,44,40,61,46,33,25,18,Pacific Island Taste,Las Vegas,NV, hawaiian breakfast_brunch poke,4.5,227.0
126,5aK167zvZhGs_i7Vf4A1NQ,244,8,11,20,20,31,32,31,22,32,19,12,6,OEB Breakfast Co. | Bridgeland,Calgary,AB, breakfast_brunch,4.5,508.0
127,5eK_pgro9_LxPYDoRVJnEA,220,23,25,22,22,22,19,16,17,13,16,22,3,Vovomeena,Phoenix,AZ, coffee breakfast_brunch,4.5,1099.0
128,5eV8oUGdBXylwB7HeaDFOA,207,19,12,14,24,16,28,22,10,21,13,18,10,The Great Greek,Henderson,NV, mediterranean greek,4.5,1170.0
129,5exz18duMXvg91ZPdNX3eA,201,31,15,28,11,27,16,20,14,8,11,15,5,Blue Ribbon Fried Chicken - Grand Bazaar,Las Vegas,NV, chickenshop,4.0,535.0
130,5keoVVM81g-nJw0Zdpl1nA,441,34,38,38,30,50,31,40,55,42,30,39,14,Evel Pie,Las Vegas,NV, pizza bars,4.5,851.0
131,5ma1OUQWy_Ds80xUiP7JPQ,228,27,17,22,13,18,24,19,20,30,20,12,6,Fuku Burger Chinatown,Las Vegas,NV, burgers,4.5,664.0
132,5nZVVPO_cYH9aQeClTP9zA,248,25,22,32,15,20,9,31,32,17,14,21,10,Sauce Pizza & Wine,Scottsdale,AZ, pizza italian salad,3.5,314.0
133,5qyVOOsTxMdEByXVkH6LQg,221,28,29,32,21,21,21,13,15,11,15,14,1,Starbucks,Henderson,NV, coffee,2.5,135.0
134,5rM7TlOWC_PlLIBbkiF-EA,228,38,30,26,22,13,32,19,7,2,17,14,8,Planet Fitness,Las Vegas,NV, gyms,3.5,65.0
136,6-VJLO3Phc8uenJaLH54Og,908,50,69,85,99,67,102,97,81,82,81,62,33,Tacos Calafia,Peoria,AZ, tacos,4.5,684.0
137,63GKC3-BW8JY0YZewDj7XA,311,33,25,27,28,28,22,28,28,30,21,30,11,A Better Day Pigeon Control,Las Vegas,NV, pest_control pressurewashers solarpanelcleaning,4.5,68.0
138,63pTKPaI7YkG0sZhMrkeQg,237,3,35,45,27,20,16,28,25,15,9,12,2,SkinnyFATS,Henderson,NV, newamerican burgers breakfast_brunch,4.0,176.0
139,64QqZo80IOgG_CDQCM8URw,214,15,19,19,15,16,13,25,22,21,24,20,5,Deluxe Cleaners and Alterations,Henderson,NV, sewingalterations dryclean,4.5,60.0
140,6Ct57qgmXwOnzfSZoUGh0Q,577,54,54,56,43,47,51,40,61,47,47,40,37,Bally's Las Vegas Hotel & Casino - Temporarily Closed,Las Vegas,NV, hotels casinos,3.0,2249.0
141,6Q7-wkCPc1KF75jZLOTcMw,348,24,24,32,32,23,37,54,42,12,30,34,4,Circus Circus Las Vegas Hotel and Casino,Las Vegas,NV, hotels casinos,2.0,3081.0
142,6T39H2dGUnrM91WqvR0VcQ,293,15,16,29,28,33,35,51,29,15,21,18,3,Mr Tea,Las Vegas,NV, bubbletea juicebars,4.5,495.0
143,6TRoNO3U2h5xHKYawKWnJg,371,0,0,0,0,67,143,74,45,25,15,1,1,nightea,Las Vegas,NV, coffee bubbletea juicebars,4.5,66.0
145,6eXGJjiUo-xNoTQkZIVlRA,241,11,16,21,12,22,20,30,27,25,24,26,7,Costco Gas,Henderson,NV, servicestations,4.5,18.0
146,6fz0hnNIVpLF5v2NqJfA9w,273,25,26,30,23,27,13,30,24,18,24,28,5,Babystacks Cafe,Las Vegas,NV, breakfast_brunch tradamerican filipino,4.0,480.0
147,6hZgMg9rnDCC0RBVRlkZwQ,226,18,13,17,12,10,20,20,24,24,35,26,7,Mr Tokyo Japanese Restaurant,Charlotte,NC, japanese sushi salad,4.0,505.0
148,6kkxRV8H9SQLybj0xnEbMw,388,29,41,22,27,27,38,53,38,32,41,26,14,Green Valley Ranch Resort Spa and Casino,Henderson,NV, casinos hotels,3.5,1054.0
149,6t7mlTVjDA9fhuFAZmVzAQ,271,22,28,40,25,29,13,26,22,18,21,19,8,Portillo's Hot Dogs,Tempe,AZ, salad burgers hotdog,3.5,857.0
150,77h11eWv6HKJAgojLx8G4w,1165,111,108,111,102,98,83,113,102,106,89,105,37,Eggslut,Las Vegas,NV, breakfast_brunch sandwiches,4.0,2610.0
151,7GHtTixfTGFxx3JG2NdEdQ,219,16,32,22,15,19,36,20,20,12,5,12,10,Nevada Climbing Center,Las Vegas,NV, climbing,4.5,162.0
152,7HIa2lYy5jgcZuADlRjKSg,215,7,27,24,21,26,17,9,18,17,17,23,9,Starbucks,Las Vegas,NV, coffee,3.0,156.0
153,7MeMGh0SUlF-GuTyruwtcw,241,19,18,23,20,18,27,30,22,20,21,21,2,Mellow Mushroom,Phoenix,AZ, pizza bars sandwiches,3.5,813.0
154,7P9pfy7Lp7aH_Arh1OMOAA,239,3,7,3,8,16,4,10,28,27,63,59,11,Katsuya,Mississauga,ON, japanese,4.5,128.0
155,7RTwUpuPFnIHPoTmWJpWhQ,208,31,33,32,20,23,2,1,6,8,22,23,7,Phoenix Zoo,Phoenix,AZ, zoos,4.0,732.0
156,7SJoMX5ti-VoEsEW6mJLRA,304,37,24,29,24,23,31,5,31,49,18,27,6,The Smith Center,Las Vegas,NV, theater,4.5,403.0
157,7XiRql62fRgP7RC08FizTA,236,27,20,15,18,23,25,22,21,24,13,18,10,Ghost Donkey,Las Vegas,NV, mexican cocktailbars speakeasies,4.5,191.0
158,7enchAqu62VvXXLkxdQnLQ,322,0,0,0,0,0,0,35,49,112,59,47,20,Valencian Gold,Las Vegas,NV, spanish tapasmallplates mediterranean,4.5,232.0
159,7hWNnAj4VwK6FAUBN8E8lg,233,13,26,23,25,25,24,18,21,28,15,10,5,EDO Gastro Tapas & Wine,Las Vegas,NV, tapasmallplates spanish,4.5,418.0
160,7sb2FYLS2sejZKxRYF9mtg,775,69,63,53,50,72,68,73,81,68,70,80,28,Sakana,Las Vegas,NV, japanese sushi bars,4.5,2684.0
161,7svPiqFz7ad82VcdDbBcJw,205,5,8,14,14,17,22,27,21,25,25,20,7,Starbucks,Henderson,NV, coffee,3.0,92.0
162,7uGsMlo8_uIZIITKfhEARA,291,39,29,31,17,22,13,43,28,30,10,21,8,Chandler Fashion Center,Chandler,AZ, shoppingcenters,4.0,212.0
164,7wMCJ9NqL9eBEX4WdJWuIA,765,51,50,57,66,86,84,87,81,66,70,50,17,Outback Steakhouse,Las Vegas,NV, steak,4.0,198.0
165,8-8btzuYZCqEVOPwk0YYfA,323,42,42,33,33,23,26,24,25,26,22,21,6,Gen Korean BBQ House,Las Vegas,NV, korean bbq,4.0,554.0
166,81WMGpA8CVYlPhuhZatkXw,206,27,22,15,25,27,18,20,9,15,15,9,4,Aria Patisserie - Temporarily Closed,Las Vegas,NV, coffee cakeshop breakfast_brunch,3.5,149.0
167,82YGtjc5KKikNiqBZ33qzw,514,35,32,45,45,40,29,28,74,61,54,43,28,Kyara Japanese Tapas,Las Vegas,NV, japanese tapas desserts,4.0,610.0
168,82g1PwX5FvclqqdjJHcVNA,267,29,36,34,27,22,27,17,18,21,15,15,6,Bomb Tacos,Las Vegas,NV, tacos,4.0,547.0
169,85nvKTJSN8byoeGRxzGkug,221,17,25,22,25,24,23,22,16,20,10,14,3,First Watch,Pittsburgh,PA, breakfast_brunch cafes tradamerican,4.0,190.0
