,Business ID,Total Check-Ins,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,Name,City,State,Category,Rating,Review Count
56,1aMxCG33wAoxjWoeRsl4BA,321,20,9,17,20,40,33,34,41,32,34,31,10,Brioche by Guy Savoy - Temporarily Closed,Las Vegas,NV, coffee bakeries french,3.5,90.0
57,1aVbXH_4uQCTQU7HfGmyow,1261,117,104,142,110,139,95,117,117,106,97,89,28,Brew Tea Bar,Las Vegas,NV, coffee bubbletea,5.0,546.0
58,1bdwB6hxMUnSKF8bCsmuZA,365,36,25,46,32,33,33,34,44,22,23,30,7,Tea of Joy,Las Vegas,NV, bubbletea juicebars tea,4.0,391.0
61,1t5hd9IXLpBOv3ICtk-bCw,405,45,39,45,42,35,42,51,29,25,33,16,3,Dutch Bros Coffee,Las Vegas,NV, coffee juicebars,4.5,248.0
62,1u6-Fy87nmWyGlG0VA1jqQ,438,36,25,42,32,27,50,39,38,35,51,43,20,Walmart Supercenter,Las Vegas,NV, grocery deptstores,2.5,129.0
63,1ufk_GFAX_5foAZnbM_U6A,953,65,60,76,63,70,62,74,97,123,118,104,41,McCarran Airport Terminal 1,Las Vegas,NV, airportterminals,3.5,84.0
64,1xB0Qf2-TN6CQ5c4Fh7vqg,305,40,18,22,45,39,37,40,31,14,9,9,1,Taiyaki NYC - Toronto,Toronto,ON, icecream desserts japanese,4.0,261.0
65,2OJrznHaA4Gz_KYbQnAuzQ,213,19,12,18,20,25,15,20,24,19,20,18,3,Volcano Tea House,Las Vegas,NV, coffee bubbletea icecream,3.5,418.0
66,2SfSzEd3B7WimeZac23zhg,222,29,25,28,19,29,27,20,6,1,10,20,8,Leoné Café,Las Vegas,NV, cafes breakfast_brunch,4.5,851.0
68,2_qLxCT0jHM8Xqk6PEwrBw,336,31,29,29,47,24,22,31,33,31,26,22,11,Slater's 50/50,Las Vegas,NV, burgers newamerican sportsbars,4.5,900.0
70,2cKAew-9iLS-mo-TtOgFiA,240,0,0,8,51,57,25,17,25,21,16,13,7,Raku,Toronto,ON, japanese noodles,4.0,214.0
71,2iTsRqUsPGRH1li1WVRvKQ,335,35,30,29,32,35,25,22,32,28,29,30,8,Carson Kitchen,Las Vegas,NV, newamerican desserts cocktailbars,4.5,2388.0
72,2j78b8m1w4Sr2GVGCzFBtQ,425,28,26,38,41,45,50,49,40,28,37,33,10,Que Onda Tacos + Tequila,Charlotte,NC, mexican bars,4.0,315.0
73,2lUp2T09MltaVT5awHRElA,258,24,21,29,29,21,35,39,36,24,0,0,0,I. C. China Bistro,Las Vegas,NV, chinese,4.5,183.0
74,2s2ww6WaulfOEI16s1uyDg,206,35,18,63,19,9,14,18,8,9,10,3,0,Cafe Darak,Las Vegas,NV, coffee desserts,4.5,408.0
75,2sx52lDoiEtef7xgPCaoBw,706,68,62,71,71,57,70,67,70,55,37,60,18,VegeNation,Las Vegas,NV, vegan,4.5,1692.0
79,3BCsAgo_1i4xMuTyLKMLRQ,431,48,35,62,45,38,27,33,49,32,28,26,8,SkinnyFATS,Las Vegas,NV, juicebars newamerican breakfast_brunch,4.5,2592.0
80,3BTFQ0FTvNK9SR8zmjz0CQ,279,0,15,37,37,26,20,16,29,38,37,15,9,Lamaii,Las Vegas,NV, thai wine_bars cocktailbars,4.5,197.0
83,3GEEy7RP6e4bT4LAiWFMFQ,476,44,34,47,47,30,40,46,52,50,40,39,7,Pizza Rock,Las Vegas,NV, pizza,4.0,2499.0
84,3Jq5LfJ5fmJ5KmuA6VHmzw,597,56,44,53,62,47,60,56,61,56,52,37,13,Topgolf,Las Vegas,NV, golf newamerican sportsbars,4.0,1478.0
87,3Mx4renubPRnjHUw1n2UkA,280,24,18,31,17,30,22,34,20,31,22,26,5,OMNIA Nightclub-Temporarily Closed,Las Vegas,NV, danceclubs bars adultentertainment,3.0,1354.0
88,3OcNWCV7VrJu1qRGWEPBsg,204,4,11,12,22,23,21,18,21,19,27,16,10,The Club LAS Terminal 1,Las Vegas,NV, airportlounges,3.0,154.0
89,3OxQiVUgZBAoELGRCgkEZw,386,12,36,38,40,41,57,45,53,24,18,19,3,Tea Way Plus,Las Vegas,NV, bubbletea coffee juicebars,5.0,151.0
90,3QQdF1RT43sVq2YxeE_iHw,254,35,30,36,36,33,18,20,16,9,12,7,2,My Pie Pizza,Las Vegas,NV, pizza,4.5,149.0
91,3_QNAH8yVzY0sBPftWyNhQ,629,24,26,44,43,55,73,78,77,47,72,69,21,The Foot Spa,Las Vegas,NV, massage massage_therapy,4.0,1103.0
93,3kdSl5mo9dWC4clrQjEDGg,2683,190,191,226,230,264,241,280,295,200,220,284,62,Egg & I,Las Vegas,NV, breakfast_brunch burgers tradamerican,4.5,4129.0
95,3rJJeMOkVi_wEura5UCQqw,365,23,17,30,52,33,33,31,45,29,31,36,5,Massage Envy - Rock Spring,Las Vegas,NV, massage skincare massage_therapy,3.5,85.0
99,3xmfT7l3xNH5LK1dLzfvGw,598,47,45,74,49,61,70,52,45,49,47,41,18,Fremont Street Experience,Las Vegas,NV, bars casinos,3.5,1693.0
102,4JNXUYY8wbaaDmk3BPzlWw,1230,118,126,101,91,109,115,111,106,110,92,118,33,Mon Ami Gabi,Las Vegas,NV, french steak breakfast_brunch,4.0,9445.0
103,4KOE7t4kYbYPMqWF3jU1Vg,528,0,0,0,0,11,126,166,82,51,46,35,11,Cubanidad,Las Vegas,NV, cuban sandwiches,4.5,380.0
104,4Nj2ktP2NjCbv2aKeH3ZBg,317,21,39,38,24,27,21,23,30,28,16,40,10,Vesta Coffee Roasters,Las Vegas,NV, coffeeroasteries coffee breakfast_brunch,4.5,408.0
105,4OFeBLswQw8bJbkAtmYuAA,358,9,30,40,53,38,41,41,23,33,26,17,7,Vegas Discount Nutrition SUPERSTORE,Las Vegas,NV, vitaminssupplements healthmarkets,5.0,52.0
106,4Pl-ziYL2oerGyIPlwVdmA,370,29,28,21,24,51,31,40,44,28,32,39,3,Chuchote Thai Bistro & Desserts,Las Vegas,NV, thai desserts,4.5,403.0
108,4ZbRwCB9oGibxK21MUZKHA,213,27,17,25,23,15,21,21,14,17,13,15,5,Smith's,Las Vegas,NV, grocery drugstores delis,2.5,101.0
109,4aCun88uZMOsAoymY5Li3w,285,20,13,33,15,30,34,43,24,9,24,33,7,Icy Juicy,Las Vegas,NV, taiwanese coffee desserts,3.5,438.0
110,4fGGeKlUY3SwqLW4SH_QnQ,224,32,20,40,25,30,17,19,10,9,10,6,6,Cafe Lola,Las Vegas,NV, cafes coffee,4.0,377.0
111,4k3RlMAMd46DZ_JyZU0lMg,602,59,37,47,55,58,58,67,64,47,53,41,16,Ramen Sora,Las Vegas,NV, ramen noodles soup,4.0,1612.0
112,4oxLboB6UEcBxRwEjMrXag,202,15,15,24,19,14,13,17,16,25,21,19,4,Exploration Peak Park,Las Vegas,NV, parks playgrounds,4.5,236.0
113,4qG3Gh8QyugC1XvoTlmgcQ,718,46,44,56,49,75,62,79,81,96,65,48,17,Egg Works,Las Vegas,NV, tradamerican breakfast_brunch burgers,4.5,887.0
114,4x_3EXJoJHx7A0-2m39jcw,240,27,30,12,22,15,14,26,26,22,26,15,5,Mutao Wellness Spa,Las Vegas,NV, massage reflexology spas,4.5,285.0
118,56Ll9rqG2WxXj4X2pmlkHQ,369,43,29,29,36,39,36,33,36,31,23,28,6,Sweet Tomatoes,Las Vegas,NV, buffets vegetarian salad,3.5,320.0
119,5DC9qePg09CHwAFVmqNjjg,464,39,43,40,45,35,36,63,42,38,37,32,14,Fries N' Pies,Las Vegas,NV, pizza beer_and_wine poutineries,4.5,318.0
122,5LNZ67Yw9RD6nf4_UhXOjw,2046,198,193,218,180,157,147,175,167,188,162,190,71,The Cosmopolitan of Las Vegas,Las Vegas,NV, hotels casinos,4.0,4809.0
125,5WjFHat0vyx0OYtGbTpyag,491,24,25,75,56,44,44,40,61,46,33,25,18,Pacific Island Taste,Las Vegas,NV, hawaiian breakfast_brunch poke,4.5,227.0
129,5exz18duMXvg91ZPdNX3eA,201,31,15,28,11,27,16,20,14,8,11,15,5,Blue Ribbon Fried Chicken - Grand Bazaar,Las Vegas,NV, chickenshop,4.0,535.0
130,5keoVVM81g-nJw0Zdpl1nA,441,34,38,38,30,50,31,40,55,42,30,39,14,Evel Pie,Las Vegas,NV, pizza bars,4.5,851.0
131,5ma1OUQWy_Ds80xUiP7JPQ,228,27,17,22,13,18,24,19,20,30,20,12,6,Fuku Burger Chinatown,Las Vegas,NV, burgers,4.5,664.0
134,5rM7TlOWC_PlLIBbkiF-EA,228,38,30,26,22,13,32,19,7,2,17,14,8,Planet Fitness,Las Vegas,NV, gyms,3.5,65.0
137,63GKC3-BW8JY0YZewDj7XA,311,33,25,27,28,28,22,28,28,30,21,30,11,A Better Day Pigeon Control,Las Vegas,NV, pest_control pressurewashers solarpanelcleaning,4.5,68.0
140,6Ct57qgmXwOnzfSZoUGh0Q,577,54,54,56,43,47,51,40,61,47,47,40,37,Bally's Las Vegas Hotel & Casino - Temporarily Closed,Las Vegas,NV, hotels casinos,3.0,2249.0
141,6Q7-wkCPc1KF75jZLOTcMw,348,24,24,32,32,23,37,54,42,12,30,34,4,Circus Circus Las Vegas Hotel and Casino,Las Vegas,NV, hotels casinos,2.0,3081.0
142,6T39H2dGUnrM91WqvR0VcQ,293,15,16,29,28,33,35,51,29,15,21,18,3,Mr Tea,Las Vegas,NV, bubbletea juicebars,4.5,495.0
143,6TRoNO3U2h5xHKYawKWnJg,371,0,0,0,0,67,143,74,45,25,15,1,1,nightea,Las Vegas,NV, coffee bubbletea juicebars,4.5,66.0
146,6fz0hnNIVpLF5v2NqJfA9w,273,25,26,30,23,27,13,30,24,18,24,28,5,Babystacks Cafe,Las Vegas,NV, breakfast_brunch tradamerican filipino,4.0,480.0
147,6hZgMg9rnDCC0RBVRlkZwQ,226,18,13,17,12,10,20,20,24,24,35,26,7,Mr Tokyo Japanese Restaurant,Charlotte,NC, japanese sushi salad,4.0,505.0
150,77h11eWv6HKJAgojLx8G4w,1165,111,108,111,102,98,83,113,102,106,89,105,37,Eggslut,Las Vegas,NV, breakfast_brunch sandwiches,4.0,2610.0
151,7GHtTixfTGFxx3JG2NdEdQ,219,16,32,22,15,19,36,20,20,12,5,12,10,Nevada Climbing Center,Las Vegas,NV, climbing,4.5,162.0
152,7HIa2lYy5jgcZuADlRjKSg,215,7,27,24,21,26,17,9,18,17,17,23,9,Starbucks,Las Vegas,NV, coffee,3.0,156.0
156,7SJoMX5ti-VoEsEW6mJLRA,304,37,24,29,24,23,31,5,31,49,18,27,6,The Smith Center,Las Vegas,NV, theater,4.5,403.0
157,7XiRql62fRgP7RC08FizTA,236,27,20,15,18,23,25,22,21,24,13,18,10,Ghost Donkey,Las Vegas,NV, mexican cocktailbars speakeasies,4.5,191.0
158,7enchAqu62VvXXLkxdQnLQ,322,0,0,0,0,0,0,35,49,112,59,47,20,Valencian Gold,Las Vegas,NV, spanish tapasmallplates mediterranean,4.5,232.0
159,7hWNnAj4VwK6FAUBN8E8lg,233,13,26,23,25,25,24,18,21,28,15,10,5,EDO Gastro Tapas & Wine,Las Vegas,NV, tapasmallplates spanish,4.5,418.0
160,7sb2FYLS2sejZKxRYF9mtg,775,69,63,53,50,72,68,73,81,68,70,80,28,Sakana,Las Vegas,NV, japanese sushi bars,4.5,2684.0
164,7wMCJ9NqL9eBEX4WdJWuIA,765,51,50,57,66,86,84,87,81,66,70,50,17,Outback Steakhouse,Las Vegas,NV, steak,4.0,198.0
165,8-8btzuYZCqEVOPwk0YYfA,323,42,42,33,33,23,26,24,25,26,22,21,6,Gen Korean BBQ House,Las Vegas,NV, korean bbq,4.0,554.0
166,81WMGpA8CVYlPhuhZatkXw,206,27,22,15,25,27,18,20,9,15,15,9,4,Aria Patisserie - Temporarily Closed,Las Vegas,NV, coffee cakeshop breakfast_brunch,3.5,149.0
167,82YGtjc5KKikNiqBZ33qzw,514,35,32,45,45,40,29,28,74,61,54,43,28,Kyara Japanese Tapas,Las Vegas,NV, japanese tapas desserts,4.0,610.0
168,82g1PwX5FvclqqdjJHcVNA,267,29,36,34,27,22,27,17,18,21,15,15,6,Bomb Tacos,Las Vegas,NV, tacos,4.0,547.0
172,8IhjRWSkD4P5YWYhBOme3Q,380,38,32,41,53,39,27,21,32,31,30,25,11,The Parlor Aveda,Las Vegas,NV, hair,5.0,96.0
174,8Rldc7fp2Bbp7NDae_HGRg,1313,0,0,0,161,180,181,104,104,154,200,195,34,The Camp Transformation Center - Las Vegas West,Las Vegas,NV, gyms weightlosscenters,5.0,9.0
176,8Yz1eFsaUy-ny3B6YZDOrg,873,35,127,59,42,118,140,90,49,52,84,57,20,Outback Steakhouse,Las Vegas,NV, steak,3.5,408.0
177,8bZel-JgYDJFlnZo9ET4Pw,262,24,3,8,5,12,38,49,29,26,35,28,5,XY Foot Spa,Las Vegas,NV, massage spas reflexology,4.5,589.0
180,8mIrX_LrOnAqWsB5JrOojQ,232,24,18,12,18,17,27,20,27,14,20,30,5,Pinball Hall Of Fame,Las Vegas,NV, arcades,4.5,1461.0
182,8zO1gDlfujftc6ZJr43nHA,409,67,28,40,36,29,35,27,34,35,31,36,11,Parsley Modern Mediterranean,Las Vegas,NV, mediterranean vegan vegetarian,4.5,152.0
183,9-cVW8wSRoE6Nmnc7v0uUA,207,21,20,15,12,14,18,24,21,18,17,24,3,Pantry,Las Vegas,NV, tradamerican,3.5,814.0
184,90gxBZhbg9XcTLdPrwoaXA,363,35,37,42,37,29,38,26,39,23,30,17,10,Crumbl Cookies - Las Vegas,Las Vegas,NV, desserts bakeries icecream,4.5,406.0
185,94c68u2I7X6YK54hrjy7FQ,209,16,25,23,16,24,16,21,13,15,14,21,5,Co Anh Sandwich & Noodle Kitchen,Las Vegas,NV, vietnamese noodles sandwiches,4.5,178.0
187,9PIC380tmNYpIC3z5cvcNA,555,64,63,64,41,45,46,53,53,43,29,40,14,Is Sweet,Las Vegas,NV, coffee desserts,4.5,836.0
188,9SU7ZZhaFUJJ6m2k5HKHeg,375,31,37,57,30,34,42,27,39,14,25,33,6,SAHARA Las Vegas,Las Vegas,NV, hotels casinos,3.0,2288.0
190,9XXeFt-S-mlVVk2eccQanQ,249,0,0,0,49,36,47,47,47,16,1,6,0,Kaos Dayclub and Nightclub,Las Vegas,NV, danceclubs musicvenues lounges,2.5,308.0
192,9edPSkfXKsJmkZYIaOmA7Q,700,71,55,69,74,65,51,65,60,42,55,77,16,Las Vegas South Premium Outlets,Las Vegas,NV, shoppingcenters outlet_stores,3.5,527.0
193,9fTDeI6mApFX52qYJ8z0mw,294,32,35,23,32,31,16,18,26,24,26,24,7,Dutch Bros Coffee,Las Vegas,NV, coffee juicebars,4.5,937.0
194,9km51KaQujxsSgdaG9gYSw,763,53,44,61,44,41,74,85,88,109,85,70,9,Paina Cafe,Las Vegas,NV, poke hawaiian donuts,4.5,564.0
195,9vG7UBYjYLDNb3VS1EZqEw,1505,95,73,83,82,77,76,136,176,175,215,215,102,Simply Skin Las Vegas,Las Vegas,NV, laser_hair_removal skincare tattooremoval,5.0,304.0
197,A-uZAD4zP3rRxb44WUGV5w,411,44,30,37,31,37,33,41,39,39,39,31,10,Soho Japanese Restaurant,Las Vegas,NV, japanese sushi asianfusion,4.5,1716.0
198,A22VviMhaGplsabsXhxBTg,544,0,7,15,29,36,54,95,52,54,69,87,46,Tomi Ramen,Las Vegas,NV, ramen,4.5,223.0
199,A5Rkh7UymKm0_Rxm9K2PJw,407,34,37,54,37,48,32,37,34,25,27,28,14,Yard House - Takeout & Delivery Available,Las Vegas,NV, newamerican bars vegetarian,4.0,1566.0
201,AALUV62lWxxVqDYaK-ckMw,452,42,34,37,40,35,34,42,55,39,41,38,15,Costco Gasoline,Las Vegas,NV, servicestations,4.5,55.0
202,ALwAlxItASeEs2vYAeLXHA,235,14,16,23,21,28,22,26,25,12,19,20,9,Futo Buta,Charlotte,NC, ramen,4.0,1245.0
203,ATaDg2kdS9GTln1-tS6iIw,1408,126,98,160,129,152,157,146,154,117,80,75,14,EAT BKK Thai Kitchen & Bar,Toronto,ON, thai,4.5,209.0
204,AV6weBrZFFBfRGCbcRGO4g,688,63,78,48,70,54,61,64,52,63,61,51,23,Luxor Hotel and Casino Las Vegas,Las Vegas,NV, hotels casinos resorts,2.5,4744.0
206,AfVp8ozD_4maZMos6AC2cQ,380,34,42,39,31,29,29,40,31,36,32,27,10,District: Donuts. Sliders. Brew,Las Vegas,NV, comfortfood coffee donuts,4.0,317.0
208,Ai5mo_6JivsrywF9Qae1pQ,211,10,10,18,21,8,9,16,24,35,25,21,14,BTS Korean Buffet Restaurant,Las Vegas,NV, korean buffets,4.5,368.0
212,Az_60nNuh1FH8Ds8oasZjw,427,35,36,32,37,34,34,44,38,40,35,49,13,Encore,Las Vegas,NV, hotels casinos resorts,4.0,2064.0
213,Azy2vmC47uHSkZE2fdvBjA,297,27,29,26,31,45,29,24,19,20,21,24,2,Brewers at 4001 Yancey,Charlotte,NC, brewpubs newamerican,4.5,341.0
214,B1nx3iQSafeHjN0uhpW4Kg,288,45,36,29,29,29,24,18,21,15,21,17,4,Mabel's BBQ,Las Vegas,NV, bbq breakfast_brunch,4.0,345.0
215,BFibmswPtBNyChp8vBHRsg,995,108,109,105,61,92,73,97,90,72,78,78,32,Gäbi Coffee & Bakery,Las Vegas,NV, bakeries coffee,4.0,1277.0
217,BIBWGO_r_1znnlmLbp4Nxg,617,41,39,50,59,57,50,76,65,56,54,53,17,Golden Nugget,Las Vegas,NV, hotels casinos,3.0,2261.0
218,BIuXMWuQIlC1ZlC3lTzy-w,319,37,31,37,28,37,24,39,29,16,10,23,8,Konbea Belt Sushi,Las Vegas,NV, conveyorsushi sushi asianfusion,4.5,600.0
219,BLIJ-p5wYuAhw6Pp6mh6mw,982,72,89,78,114,77,78,91,95,90,79,97,22,Planet Hollywood Las Vegas Resort & Casino - Temporarily Closed,Las Vegas,NV, hotels casinos,3.0,3272.0
220,BORPULADzZV6_LJZzcsywQ,327,36,26,32,18,44,24,28,39,29,15,31,5,PBR Rock Bar & Grill,Las Vegas,NV, bars tradamerican breakfast_brunch,3.0,1103.0
222,BWCfyBdnTvuXp6A_8wt8cA,295,0,0,19,43,39,39,20,19,32,34,41,9,Ikkousha Ramen,Toronto,ON, ramen,4.5,206.0
224,Bh3fRjirjRYDl2tufa42UA,1052,137,99,83,114,120,88,88,92,60,69,68,34,Tacotarian,Las Vegas,NV, mexican vegan,4.5,518.0
226,BjrKNWhtQkedHw8hP_0Bjg,2683,26,30,143,764,761,588,207,53,38,25,41,7,Umami,Las Vegas,NV, japanese sushi desserts,4.5,785.0
229,ByFMv3p5X1aNeZhU61rDcA,346,28,31,30,29,24,42,30,36,35,23,24,14,The STRAT Hotel,Las Vegas,NV, hotels casinos,2.5,2613.0
230,C133mywi5QcjV6WGztf6mw,216,0,0,4,30,16,20,20,25,21,29,37,14,Angelina's Pizzeria & Italian Kitchens,Las Vegas,NV, pizza italian,4.0,98.0
233,C9ImzBi5fn742ZcAYDww2A,246,23,24,30,18,25,21,31,21,18,14,14,7,Rise & Shine - A Steak & Egg Place,Las Vegas,NV, breakfast_brunch steak tradamerican,4.0,1655.0
235,CPi7KGba3x3QjMmIqD4aWw,521,44,27,34,47,49,53,60,71,32,42,49,13,Game Nest Arcade,Las Vegas,NV, arcades,5.0,184.0
237,CVKOPzBVOj3_apFUmZ9ZWw,568,50,50,61,37,58,49,58,51,36,43,63,12,Gordon Ramsay Fish & Chips - Temporarily Closed,Las Vegas,NV, comfortfood seafood fishnchips,4.0,1665.0
239,CcQCwULrYb37Bd86609yzg,274,43,37,37,20,18,18,18,21,19,9,22,12,Spoiled Laser,Las Vegas,NV, medicalspa laser_hair_removal skincare,5.0,141.0
240,CdxWhFBtjl0LBqlQEfxX8A,2968,222,211,197,139,154,243,404,312,286,377,303,120,Pronto by Giada - Temporarily Closed,Las Vegas,NV, sandwiches bakeries coffee,3.5,600.0
242,CiYLq33nAyghFkUR15pP-Q,334,30,25,27,26,28,17,38,28,42,18,40,15,Tacos El Gordo,Las Vegas,NV, tacos,4.0,1851.0
243,Cly7wJhbXIDID_quND01_w,394,48,41,53,26,39,33,38,26,35,22,20,13,Flower Child,Las Vegas,NV, newamerican salad vegetarian,4.5,583.0
244,CoyeXg8FBsS_d20QzNIy-A,375,45,45,50,34,33,27,23,21,25,35,33,4,Makers & Finders,Las Vegas,NV, coffee latin breakfast_brunch,4.0,1248.0
245,Cy8XYYDrZ5wd3Bq-toXMsg,238,26,23,15,23,17,21,24,26,17,24,19,3,Hachi,Las Vegas,NV, japanese tapasmallplates,4.5,383.0
248,D6WXf0lB4pfuXZH3P7c5Ow,252,26,26,23,18,33,22,15,29,16,19,16,9,Oodle Noodle,Las Vegas,NV, noodles izakaya,4.5,367.0
249,D8yYMxz0p6oQnOQnLRUIyA,741,54,91,81,91,72,75,50,104,40,28,39,16,Noodle House,Las Vegas,NV, taiwanese dimsum,3.5,961.0
250,DESv2ys6SjBKA4SyDtJvxw,329,20,25,28,26,41,45,31,23,28,21,33,8,Ferraro's Italian Restaurant & Wine Bar,Las Vegas,NV, italian wine_bars,4.5,1191.0
252,DNSDAtD6uxQkoZkQe2v4ew,297,36,37,36,33,28,17,24,11,29,14,26,6,Curry Leaf Flavors of India,Las Vegas,NV, indpak desserts bars,4.5,615.0
254,DYuOxkW4DtlJsTHdxdXSlg,234,19,13,26,20,23,27,22,21,19,19,15,10,Bahama Breeze - Curbside To Go & Delivery,Las Vegas,NV, bars seafood latin,4.0,1025.0
256,D_24gRsnae7guxJE8gLgtw,1372,138,120,126,132,109,113,156,113,119,124,103,19,Cafe 86,Las Vegas,NV, desserts coffee bakeries,4.0,524.0
257,DbEszO3wk1xVmN3pCPob2g,651,64,69,74,45,57,52,56,51,55,53,56,19,Jamms Restaurant,Las Vegas,NV, breakfast_brunch tradamerican newamerican,4.5,1276.0
258,DfgZlNgKwBvCpA_0alumXw,767,61,55,66,78,57,76,80,67,53,74,78,22,The Mirage,Las Vegas,NV, hotels casinos resorts,3.0,2527.0
259,DkYS3arLOhA8si5uUEmHOw,435,37,42,40,42,45,38,38,43,39,24,35,12,Earl of Sandwich,Las Vegas,NV, sandwiches salad wraps,4.5,5256.0
261,DxgSVufr_6y_Rc63CC17Zg,309,27,25,30,31,26,30,26,28,23,22,32,9,The Forum Shops at Caesars,Las Vegas,NV, shoppingcenters,4.0,711.0
262,DyOzNIeXUksPNLXYHnB-oQ,424,54,41,38,37,31,35,50,37,33,40,17,11,Sabor Latin Street Grill,Charlotte,NC, latin mexican,4.5,866.0
